date,open,high,low,close,volume
2026-03-02,181.42,182.55,178.58,180.32,51636202
2026-03-03,182.73,183.06,181.43,182.91,64018023
2026-03-04,187.94,189.6,187.08,188.38,51119527
2026-03-05,187.52,187.95,187.35,187.38,59234341
2026-03-06,189.17,190.72,187.7,188.87,31797698
2026-03-09,188.2,188.86,186.32,187.56,40968034
2026-03-10,184.26,185.39,183.24,184.66,47288889
2026-03-11,184.68,185.77,184.23,185.57,60790135
2026-03-12,183.42,183.44,181.98,182.78,58046093
2026-03-13,182.79,183.69,182.13,182.65,43381424
2026-03-16,182.79,183.87,181.34,182.76,54599527
2026-03-17,179.97,180.18,179.12,180.04,62744441
2026-03-18,180.16,180.41,179.85,180.16,46342547
2026-03-19,179.5,180.12,178.77,179.02,52913160
2026-03-20,180.81,181.21,180.31,180.65,40126362
2026-03-23,179.53,180.52,178.91,179.28,62701227
2026-03-24,180.74,181.02,178.14,179.96,39120224
2026-03-25,178.13,180.62,177.99,179.44,64840182
2026-03-26,179.46,179.74,178.6,179.33,45966873
2026-03-27,184.17,185.39,183.67,184.71,62276124
2026-03-30,185.12,187.08,184.17,186.45,50761835
2026-03-31,189.74,189.82,188.29,188.88,51909904
2026-04-01,189.8,191.05,188.91,189.43,34293503
2026-04-02,191.02,191.43,190.28,190.85,47469016
2026-04-03,191.01,192.18,188.92,190.11,51291282
2026-04-06,193.99,194.83,193.54,194.47,55764738
2026-04-07,193.48,195.57,191.97,193.87,53507474
2026-04-08,191.34,191.35,190.48,191.18,70584164
2026-04-09,188.32,189.76,187.65,189.13,44569315
2026-04-10,194.56,195.98,192.29,193.51,58734673
2026-04-13,189.46,190.9,187.7,189.89,53282654
2026-04-14,189.28,190.35,188.49,188.78,56740525
2026-04-15,187.43,187.62,187.01,187.29,43548160
2026-04-16,188.81,189.35,186.98,188.62,59780902
2026-04-17,184.8,185.5,184.61,185.26,62547980
2026-04-20,180.76,182.61,179.35,182.24,54088221
2026-04-21,189.19,189.65,188.97,189.57,53901495
2026-04-22,191.9,194.08,190.91,192.17,35319694
2026-04-23,187.35,188.06,187.32,187.95,48642886
2026-04-24,186.57,187.52,185.13,187.22,46303872
2026-04-27,184.27,184.81,183.27,184.8,54316497
2026-04-28,184.03,187.14,183.76,184.96,70247607
2026-04-29,190.13,191.0,188.1,189.6,69033555
2026-04-30,186.2,187.3,185.43,186.43,58070121
2026-05-01,192.15,193.63,191.94,193.31,46251819
2026-05-04,193.92,194.46,192.87,193.57,37116161
2026-05-05,193.14,193.29,192.46,192.54,50412032
2026-05-06,188.82,190.36,188.13,188.86,46658201
2026-05-07,189.61,189.79,188.59,188.78,65246257
2026-05-08,189.94,190.39,188.28,189.98,63501538
2026-05-11,191.08,192.3,190.14,191.38,51593096
2026-05-12,189.51,191.39,187.87,189.72,31679942
2026-05-13,191.46,191.99,190.97,191.52,53352276
2026-05-14,192.46,193.6,192.24,193.17,52861190
2026-05-15,195.05,195.82,194.13,194.66,46846205
2026-05-18,192.5,192.86,191.86,192.17,35666293
2026-05-19,187.57,189.73,185.9,189.04,63352234
2026-05-20,191.58,191.63,190.57,191.41,49505267
2026-05-21,196.21,197.69,196.11,196.34,67740662
2026-05-22,197.14,198.11,195.64,196.32,38968019
2026-05-25,195.1,195.5,194.43,194.81,55859927
2026-05-26,197.43,199.85,195.9,196.82,52909269
2026-05-27,195.94,196.92,195.84,196.54,64187970
2026-05-28,193.87,197.18,193.02,194.74,34954933
2026-05-29,189.44,190.7,189.36,189.65,49018073
2026-06-01,189.35,191.86,188.53,191.15,49633079
2026-06-02,188.22,188.57,187.24,187.59,55819761
2026-06-03,186.54,187.55,186.35,187.01,52873591
2026-06-04,188.5,188.92,188.36,188.54,44839756
2026-06-05,192.06,193.69,189.76,190.43,57530816
2026-06-08,188.0,188.35,187.19,188.27,46676178
2026-06-09,185.45,187.09,185.35,187.06,46582107
2026-06-10,187.75,188.36,187.36,188.24,52033300
2026-06-11,190.69,191.92,190.09,191.41,69521046
2026-06-12,187.77,189.93,187.76,188.49,43270850
2026-06-15,191.75,192.42,190.92,191.71,60040729
2026-06-16,192.6,193.21,192.06,192.26,49368938
2026-06-17,189.96,189.98,189.12,189.34,47753935
2026-06-18,189.2,189.84,187.87,188.05,44991128
2026-06-19,184.7,186.71,184.63,184.99,55858071
2026-06-22,189.99,190.1,189.12,189.65,55340381
2026-06-23,186.92,188.65,186.53,187.57,43771168
2026-06-24,186.13,186.34,184.73,185.33,54804055
2026-06-25,186.63,187.21,185.6,185.85,61456276
2026-06-26,192.87,192.94,191.54,192.27,44434184
2026-06-29,190.72,191.86,188.67,189.85,55167751
2026-06-30,185.33,187.08,184.31,185.33,46810985
2026-07-01,184.22,185.42,183.34,183.59,48935718
2026-07-02,182.78,183.55,182.5,182.67,50089674
2026-07-03,182.55,184.79,181.89,182.04,47229992
